map_order,title,year,first_broadcast_date,source,broadcasting_station,cluster,form,genre,protagonist_verified,protagonist_role,author,director,url,description
136,Wartheländisches Tagebuch,1974,23.11.1974,DRA,Sender Freies Berlin,Based on diaries,adaptation,Hörspielbearbeitung,Alexander Hohenstein,author; politician,Alexander Hohenstein,Hans Bernd Müller,https://hoerspiele.dra.de/detailansicht/1428416,"The author of this ""Wartheland Diary"" - only reproduced as excerpts in the radio work - was mayor during World War II in the so-called."
137,(schreibt auf. unsere haut.) - PROJEKT RAF,1999,06.10.1999,DRA,Hessischer Rundfunk,Based on letters,adaptation,Hörspielbearbeitung,RAF prisoners,collective; political prisoner,Paul Plamper; Alban Rehnitz,Paul Plamper; Andreas Weiser,https://hoerspiele.dra.de/detailansicht/1429651,"""Combat Zones"" - This is the title of a four-part radio work series that uses the borderline experience of war to re-debate the old question of the relationship between aesthetics and morality, partisanship and art."
138,Stille Bilder kann ich nicht malen,2000,30.03.2000,DRA,Mitteldeutscher Rundfunk / Ulf Köhler,Biography,feature / documentary,Feature,Bernhard Heisig,artist,Marina Leischner-Farschid,Ingo Colbow,https://hoerspiele.dra.de/detailansicht/1430360,"The painter Bernhard Heisig will be 75 years old on March 31st. In a conversation with radio author Marina Leischner-Farschid, he takes time to look back on his life, which was always contentious and full of contradictions."
139,Der Todestrieb,1999,16.12.1999,DRA,Westdeutscher Rundfunk,Autobiographical lives,adaptation,Hörspielbearbeitung,Jacques Mesrine,author; criminal,Jacques Mesrine,Walter Adler,https://hoerspiele.dra.de/detailansicht/1430397,"In France, a separate law was passed for Jacques Mesrine's autobiography. It says that no one who writes books about his crimes may make a profit from them."
140,"Wer hören will, wird fühlen",2000,19.07.2000,DRA,Hessischer Rundfunk / Westdeutscher Rundfunk,Biography,portrait,"Porträt, Essay",Nathalie Sarraute,author; woman,Hans-Jürgen Heinrichs,,https://hoerspiele.dra.de/detailansicht/1430815,"Nathalie Sarraute would have been 100 years old on July 18th. One of her last statements about her life and the expected death, about her work and how she understood it, was: ""If what I do is not difficult, it does not excite or stimulate me."
141,Ich spreche als Mensch,2000,05.06.2000,DRA,Bayerischer Rundfunk,Biography,feature / documentary,"Porträt, Originalhörspiel, Dokumentarhörspiel",Max Aub,author; director,Roana Brogsitter,Christiane Klenz,https://hoerspiele.dra.de/detailansicht/1432185,"Max Aub was born on June 2, 1903 in Paris. His father is German and his mother is French. Both parents are Jews, but Aub was brought up without a religion. When the First World War broke out, the family had to leave France and moved to Valencia."
142,Ich bin so gierig nach Leben,2001,04.02.2001,DRA,Norddeutscher Rundfunk / DeutschlandRadio Berlin (Deutschlandradio),Autobiographical lives,adaptation,Hörspielbearbeitung,Brigitte Reimann,author; woman,Brigitte Reimann,Barbara Plensat,https://hoerspiele.dra.de/detailansicht/1431093,"I am young, I am sensual, I am terribly afraid of aging. Why shouldn't I enjoy my life? In ten or twenty years everything will be over - if I don't die before then, wrote Brigitte Reimann at the age of 22."
143,Worpsweder Tagebuch,1979,21.09.1979,DRA,Radio Bremen,Based on diaries,other,Hörspiel,Alfred Behrens,author,Alfred Behrens,Alfred Behrens,https://hoerspiele.dra.de/detailansicht/1432481,"The author spent the rainy summer of 1978 as a scholarship holder in the studio house in Worpswede. A diary was created that provides information about the private and professional problems of a writer today, who would be more accurately described as a ""media worker"", and proved to be the ideal basis for a new kind of radio work."
144,Tagebuch/Diario,1999,09.01.1999,DRA,Westdeutscher Rundfunk,Sound art,sound art,Ars acustica,not stated,not stated,José Iges; Concha Jerez,,https://hoerspiele.dra.de/detailansicht/1433537,"""I remember Ottavia, the cobweb city, of Chloe, where people on the street don't know each other, of the city of Tamara, where the eye sees nothing but outlines of things that mean other things."" (from: ""Diary/Diario"")."
145,Edgar Varèse,1999,26.06.1999,DRA,Westdeutscher Rundfunk,Biography,feature / documentary,Feature,Edgar Varèse,musician,Rudolf Frisius,Claudia Johanna Leist,https://hoerspiele.dra.de/detailansicht/1433539,"""The emancipation of acoustic art in the 20th century developed in various ways - above all as the emancipation of noise and as the emancipation of voice and sounding language."
146,Teresas Tagebuch,2000,01.07.2000,DRA,Südwestrundfunk / Westdeutscher Rundfunk / Bayerischer Rundfunk,Based on diaries,original radio play,"Originalhörspiel, Kinderhörspiel",Teresa,fictional character; child; woman,Sebastian Goy,Annette Berger,https://hoerspiele.dra.de/detailansicht/1434071,"Grandpa and Max are standing in front of the thermometer. ""What a heat,"" groans Grandpa, ""the typical dog days."" ""It's very hot, not exactly 337, but at least 37 degrees, the typical dog days,"" writes Teresa in her diary."
147,Peter Zwetkoff - Porträt des Komponisten als Hörspielmacher,2000,13.04.2000,DRA,Südwestrundfunk,Biography,portrait,Porträt,Peter Zwetkoff,musician,Ulrich Lampen,Ulrich Lampen,https://hoerspiele.dra.de/detailansicht/1434175,"Peter Zwetkoff was born on April 15, 1925 to a Bulgarian father and an Austrian mother and grew up in Tyrol. The German occupation of Austria and the anti-fascist resistance to it were the experiences that shaped Peter Zwetkoff and distinguished him from the majority of his generation."
148,Eismitte,2000,02.05.2000,DRA,Saarländischer Rundfunk / Bayerischer Rundfunk,Sound art,sound art,Ars acustica,Johannes Georgi,scientist; explorer,Johannes Georgi; Simone Weil; René Char,Werner Hofmeister; Ulrich Müller,https://hoerspiele.dra.de/detailansicht/1435644,"Werner Hofmeister, Ulrich Müller and Siegfried Rössert live and work as a team of musicians and composers under the name ""48 nord"" in Munich. Two main characteristics characterize the music of 48 nord."
149,Blitzlichter (2. Teil: Souveränität der Lächerlichkeit),2002,06.03.2002,DRA,Bayerischer Rundfunk,Autobiographical lives,adaptation,Hörspielbearbeitung,Ilse Aichinger,author; woman,Ilse Aichinger,Ulrich Lampen,https://hoerspiele.dra.de/detailansicht/1436245,Ilse Aichinger tells her life in an idiosyncratic way. She describes films in short texts - and these feature articles become the autobiography of the enthusiastic cinema-goer.
150,Auf der Suche nach dem Klanng - Atanasio Khyrsh und die Musik der Zukunft,2001,07.03.2001,DRA,Hessischer Rundfunk,Biography,portrait,"Porträt, Originalhörspiel",Atanasio Khyrsh,musician,Moritz Eggert,Moritz Eggert,https://hoerspiele.dra.de/detailansicht/1436056,This international radio work production explores the astonishing and exciting biography of the previously little-known contemporary composer Atanasio Khyrsh.
151,Zur Zeit - live,2001,16.02.2001,DRA,Hessischer Rundfunk,Sound art,sound art,Ars acustica,Hermann Kretzschmar,musician; composer,Hermann Kretzschmar,Hermann Kretzschmar,https://hoerspiele.dra.de/detailansicht/1436678,"“At the moment” is a search, a journey, an attempt to determine one’s current position. Autobiographical-documentary sound material from the last 12 years plays a major role."
152,"""Leuchtkugeln aus Blut"" - Ein Thomas Harlan Porträt",2001,14.06.2001,DRA,Bayerischer Rundfunk,Biography,portrait,Porträt,Thomas Harlan,author; director,Michael Farin,Bernhard Jugel,https://hoerspiele.dra.de/detailansicht/1436732,"Broadcast about Thomas Harlan, author of the trilogy ""Rosa - The Rosa Peham Files"" and ""Rosa - The Journey to Kulmhof 1 and 2""."
153,Koljas Briefe,2002,10.02.2002,DRA,Norddeutscher Rundfunk,Based on letters,original radio play,"Originalhörspiel, Monolog",an old woman,woman; ordinary person,Adolf Schröder,Heinz von Cramer,https://hoerspiele.dra.de/detailansicht/1436832,"An old woman tells of an early love for which there was no place. The person opposite, a young lawyer whom she carefully selected and paid to listen patiently, remains silent."
154,Ich bin einsam wie ...,2001,21.05.2001,DRA,Südwestrundfunk,Biography,original radio play,Originalhörspiel,Franz Kafka; Friedrich Hölderlin,author,Gerwig Epkes,Gerwig Epkes,https://hoerspiele.dra.de/detailansicht/1436805,"I fear that the warm life within me will grow cold because of the ice-cold history of the day..."" Friedrich Hölderlin. ""Those whose nature keeps them away from the community..."
155,Blitzlichter (3. Teil: Augenblicke von Entschluss und Untergang),2002,13.03.2002,DRA,Bayerischer Rundfunk,Autobiographical lives,adaptation,Hörspielbearbeitung,Ilse Aichinger,author; woman,Ilse Aichinger,Ulrich Lampen,https://hoerspiele.dra.de/detailansicht/1437211,Ilse Aichinger tells her life in an idiosyncratic way. She describes films in short texts - and these feature articles become the autobiography of the enthusiastic cinema-goer.
156,Blitzlichter (1. Teil: Film und Verhängnis),2002,27.02.2002,DRA,Bayerischer Rundfunk,Autobiographical lives,adaptation,Hörspielbearbeitung,Ilse Aichinger,author; woman,Ilse Aichinger,Ulrich Lampen,https://hoerspiele.dra.de/detailansicht/1437210,Ilse Aichinger tells her life in an idiosyncratic way. She describes films in short texts - and these feature articles become the autobiography of the enthusiastic cinema-goer.
157,Blitzlichter (4. Teil: Entwurf einer Zukunft),2002,20.03.2002,DRA,Bayerischer Rundfunk,Autobiographical lives,adaptation,Hörspielbearbeitung,Ilse Aichinger,author; woman,Ilse Aichinger,Ulrich Lampen,https://hoerspiele.dra.de/detailansicht/1437212,Ilse Aichinger tells her life in an idiosyncratic way. She describes films in short texts - and these feature articles become the autobiography of the enthusiastic cinema-goer.
158,Blitzlichter (5. Teil: Journal des Verschwindens),2002,27.03.2002,DRA,Bayerischer Rundfunk,Autobiographical lives,adaptation,Hörspielbearbeitung,Ilse Aichinger,author; woman,Ilse Aichinger,Ulrich Lampen,https://hoerspiele.dra.de/detailansicht/1437213,Ilse Aichinger tells her life in an idiosyncratic way. She describes films in short texts - and these feature articles become the autobiography of the enthusiastic cinema-goer.
159,"Melville, der Rätselhafte",2002,01.12.2002,DRA,Bayerischer Rundfunk,Biography,portrait,"Porträt, Originalhörspiel",Herman Melville,author; sailor,Mira Alexandra Schnoor,,https://hoerspiele.dra.de/detailansicht/1437296,"Herman Melville, born in New York in 1819, started out as a simple sailor on whaling ships in 1841. What followed: desertion, a stay with a Polynesian native tribe completely untouched by civilization, a mutiny on board a whaler, an escape from a prison in Tahiti, and service on an American warship."
160,The making of Roaratorio,2002,10.08.2002,DRA,DeutschlandRadio Köln,Sound art,portrait,Porträt,John Cage,musician; artist; author,Klaus Schöning,,https://hoerspiele.dra.de/detailansicht/1437268,"An Irish Circus about Finnegans Wake"", a key work of acoustic art, John Cage combined his experiences with music and poetry, sound poetry and natural sounds, environmental sound and tape montage as well as his involvement in Zen to create an all-encompassing, sounding cosmogony."
161,Nie wieder! (3. Teil: Briefe an Barbara),2002,27.01.2002,DRA,Westdeutscher Rundfunk,Based on letters,adaptation,"Hörspielbearbeitung, Kinderhörspiel",Leo Meter,author; soldier; parent,Leo Meter,Claudia Johanna Leist,https://hoerspiele.dra.de/detailansicht/1437384,"A father writes letters to his daughter. He is a soldier in World War II, far away. He served on the Eastern Front, in Ukraine. Barbara, to whom the letters are addressed, lives with her mother in Amsterdam."
162,Memorial,1956,21.03.1956,DRA,Rundfunk der DDR vor 21.03.,Autobiographical lives,adaptation,Hörspielbearbeitung,Günther Weisenborn,author; resistance fighter,Günther Weisenborn,Wolfgang Schonendorf,https://hoerspiele.dra.de/detailansicht/1438374,"Memorial means to remember, means memorial. A report from Günther Weisenborn about the appreciation of the anti-fascist resistance against Hitler."
163,Ein Jahr mit Thomas Bernhard (2. Teil: Wegen 2 Minuten kann nicht gespielt werden),2002,11.04.2002,DRA,Südwestrundfunk,Based on diaries,adaptation,Hörspielbearbeitung,Thomas Bernhard,author,Karl Ignaz Hennetmair,Ulrich Gerhardt,https://hoerspiele.dra.de/detailansicht/1440546,"""You can hardly believe what you read for 600 pages. Diary, minutes, reporter's prose, which purifies itself into honoring heroes, and in the next sentence darkens into insulting authors, declarations of love and declaration of war."
164,"Zur Zeit - live, revisited",2003,23.05.2003,DRA,Hessischer Rundfunk,Sound art,sound art,Ars acustica,Hermann Kretzschmar,musician; composer,Hermann Kretzschmar,,https://hoerspiele.dra.de/detailansicht/1441137,"""'At the moment' is a search, a journey, an attempt to determine one's position through hearing. Autobiographical-documentary sound material from the last 12 years plays a major role."
165,Heim-Suchungen,1971,08.09.1971,DRA,Westdeutscher Rundfunk,Biography,other,Hörspiel,freelance authors,author; collective,Helga M. Novak,Friedhelm Ortmann,https://hoerspiele.dra.de/detailansicht/1441250,"The tax authorities can confirm that the weak minority of freelance authors is being exploited; because their average income is on a par with unskilled workers, and their social security is far lower."
166,Ein Porträt des plattdeutschen Autors Christian Holsten,1976,08.01.1976,DRA,Westdeutscher Rundfunk,Biography,other,Mundarthörspiel,Christian Holsten,author,Hans O. E. Gronau,Wolfram Rosemann,https://hoerspiele.dra.de/detailansicht/1441212,A portrait of the Low German author Christian Holsten.
167,Fortsetzung einer Biographie,1978,29.08.1978,DRA,Westdeutscher Rundfunk,Biofiction,original radio play,Originalhörspiel,Erika,fictional character; child; woman,Hannelies Taschau,Otto Düben,https://hoerspiele.dra.de/detailansicht/1441789,"The author tells of a sixteen-year-old girl who neither reacts to her mother's tears nor her father's beatings. She is simply stubborn in a quiet way, gives non-binding information to the carer who is called in, and actually seems to be a ""lovely"" girl."
168,Deiner fernen Wüste Trauer,2003,13.12.2003,DRA,DeutschlandRadio Köln,Autobiographical lives,adaptation,Hörspielbearbeitung,Maria Wolkonskaja,author; woman; aristocrat,Maria Wolkonskaja,Christine Nagel,https://hoerspiele.dra.de/detailansicht/1441334,"Shortly before the Urals, a carriage gets stuck in a snowstorm. The travelers: 21-year-old Princess Maria Wolkonskaya with her stubborn maid. With her luggage, Maria has little more than memories of a sheltered childhood, love poems by Alexander Pushkin and melodies from Ukraine - the 6,500 kilometer journey to Siberia lies ahead of her."
169,Ein weiter Weg (Teil 1: Aller Anfang ist Maloche),1969,04.09.1969,DRA,Rundfunk der DDR,Biofiction,adaptation,Hörspielbearbeitung,Robert Hesse,politician; worker,Fritz Selbmann,Fritz-Ernst Fechner,https://hoerspiele.dra.de/detailansicht/1442954,"The career of a young worker into a communist politician. When the young worker Robert Hesse protests against the working conditions in a sawmill in the Palatinate, he is fired."
170,Ein weiter Weg (Teil 2: Heimfahrt ins gelobte Land),1969,11.09.1969,DRA,Rundfunk der DDR,Biofiction,adaptation,Hörspielbearbeitung,Robert Hesse,politician; worker,Fritz Selbmann,Fritz-Ernst Fechner,https://hoerspiele.dra.de/detailansicht/1442955,"The career of a young worker into a communist politician. Robert Hesse, elected to the soldiers' council of his artillery regiment, believes in the possibilities of a republican defense force."
171,Ein weiter Weg (Teil 3: Das Jahr 1923),1969,18.09.1969,DRA,Rundfunk der DDR,Biofiction,adaptation,Hörspielbearbeitung,Robert Hesse,politician; worker,Fritz Selbmann,Fritz-Ernst Fechner,https://hoerspiele.dra.de/detailansicht/1442956,"The career of a young worker into a communist politician. Robert Hesse, now a member of a communist operational cell in a coal mine and organizational leader, takes part in the revolutionary struggles against inflation and the occupation of the Ruhr."
172,Ein weiter Weg (Teil 4: Schlesisches Zwischenspiel),1969,25.09.1969,DRA,Rundfunk der DDR,Biofiction,adaptation,Hörspielbearbeitung,Robert Hesse,politician; worker,Fritz Selbmann,Fritz-Ernst Fechner,https://hoerspiele.dra.de/detailansicht/1442957,A radio work based on Alternative - Balance Sheet - Credo (autobiography) text adaptation: Rolf Gumlich.
173,Ein weiter Weg (Teil 5: Wetterleuchten),1969,02.10.1969,DRA,Rundfunk der DDR,Biofiction,adaptation,Hörspielbearbeitung,Robert Hesse,politician; worker,Fritz Selbmann,Fritz-Ernst Fechner,https://hoerspiele.dra.de/detailansicht/1442958,The career of a young worker into a communist politician.
174,Ein weiter Weg (Teil 6: Und wenn es tausend Jahre wären),1969,09.10.1969,DRA,Rundfunk der DDR,Biofiction,adaptation,Hörspielbearbeitung,Robert Hesse,politician; worker,Fritz Selbmann,Fritz-Ernst Fechner,https://hoerspiele.dra.de/detailansicht/1442959,The career of a young worker into a communist politician. The National Socialist justice system tried unsuccessfully to persuade Robert Hesse to betray the KPD.
175,Ein weiter Weg (Teil 7: Die lange Nacht),1969,16.10.1969,DRA,Rundfunk der DDR,Biofiction,adaptation,Hörspielbearbeitung,Robert Hesse,politician; worker,Fritz Selbmann,Fritz-Ernst Fechner,https://hoerspiele.dra.de/detailansicht/1442960,"The career of a young worker into a communist politician. Robert Hesse goes through the ordeal of the National Socialist concentration camps, works in the communist camp management and is finally deported to the quarries in Flossenburg, where he is to be liquidated."
176,Ein weiter Weg (Teil 8: Ankunft in der Stunde Null),1969,23.10.1969,DRA,Rundfunk der DDR,Biofiction,adaptation,Hörspielbearbeitung,Robert Hesse,politician; worker,Fritz Selbmann,Fritz-Ernst Fechner,https://hoerspiele.dra.de/detailansicht/1442961,"The career of a young worker into a communist politician. Robert Hesse returned to Leipzig in the spring of 1945, dedicated himself to organizing and gathering the anti-fascist forces, but was persecuted by the American occupying forces because of this activity."
177,Zwei Briefe an Pospischiel (Teil 2: Der zweite Brief),1972,21.02.1972,DRA,Rundfunk der DDR,Based on letters,adaptation,Hörspielbearbeitung,Paul Pospischiel,worker; ordinary person,Max von der Grün; Gerhard Bengsch,Walter Niklaus,https://hoerspiele.dra.de/detailansicht/1443138,"Alarming news penetrates the apparently secure world of the worker Paul Pospischiel and his family and colleagues: Pospischiel's mother tells her son that she has discovered the man who betrayed his father to the National Socialists, and she also names a witness."
178,Zwei Briefe an Pospischiel (Teil 1: Der erste Brief),1972,04.09.1972,DRA,Rundfunk der DDR,Based on letters,adaptation,Hörspielbearbeitung,Paul Pospischiel,worker; ordinary person,Max von der Grün; Gerhard Bengsch,Walter Niklaus,https://hoerspiele.dra.de/detailansicht/1443137,"Alarming news penetrates the apparently secure world of the worker Paul Pospischiel and his family and colleagues: Pospischiel's mother tells her son that she has discovered the man who betrayed his father to the National Socialists, and she also names a witness."
179,Biographie einer Landschaft,1973,18.01.1973,DRA,Rundfunk der DDR,Biofiction,original radio play,Originalhörspiel,two high school students,student; ordinary person,Günter Wünsche,Fritz Göhler,https://hoerspiele.dra.de/detailansicht/1443189,Two high school students are commissioned by the FDJ to investigate details of a femicide committed in Mecklenburg in 1933. This commission is intended to contribute to further shedding light on the local history of the labor movement.
180,Erwachen in Mississippi,1973,11.03.1973,DRA,Rundfunk der DDR,Autobiographical lives,adaptation,"Hörspielbearbeitung, Monolog",Anne Moody,author; activist; woman,Anne Moody,Walter Niklaus,https://hoerspiele.dra.de/detailansicht/1443207,"The young black Anne Moody reports in a monologue about her parents, family, school, her work as a domestic servant for ""white families"", the discrimination against blacks in Mississippi, her path to the civil rights movement and her hopes and successes with the black and white civil rights movements."
181,Briefe in die Ferne,1973,11.02.1973,DRA,Rundfunk der DDR,Based on letters,original radio play,"Originalhörspiel, Kurzhörspiel",West German corporate executive; working-class family from the GDR,corporate executive; working-class family; collective,Karlheinz Zydoreck,Joachim Staritz,https://hoerspiele.dra.de/detailansicht/1443224,The offer of help from a West German company director aimed at future profits and the sincere expression of solidarity from a working class family from the GDR to Vietnam in letters after the end of the war.
182,Die letzte Seite im Tagebuch,1973,15.03.1973,DRA,Rundfunk der DDR,Based on diaries,original radio play,Originalhörspiel,17-year-old high school student,student; woman; ordinary person,Gisela Steineckert,Günther Rücker,https://hoerspiele.dra.de/detailansicht/1443211,"The everyday life of a 17-year-old high school student: She chafes against her environment - for her, that is primarily her parents' home and school. Added to this is an unhappy love story, a career dream that doesn't come true immediately - all normal, average problems."
183,Briefe an Anne,1975,04.05.1975,DRA,Rundfunk der DDR,Based on letters,original radio play,"Originalhörspiel, Kurzhörspiel",student from the GDR,student; ordinary person,Ulrike Schünemann,Barbara Plensat,https://hoerspiele.dra.de/detailansicht/1443355,"A student from the GDR begins his five-year studies in Kharkov (Soviet Union). His first encounters, impressions and experiences with the Soviet Union come to life in letters to his girlfriend in Leipzig."
184,Briefe aus New York,1974,29.12.1974,DRA,Rundfunk der DDR,Based on letters,original radio play,Originalhörspiel,50-year-old German immigrant in New York,woman; immigrant; ordinary person,Edith Anderson,Günther Rücker,https://hoerspiele.dra.de/detailansicht/1443344,A 50-year-old woman who immigrated to the USA from Germany is looking for work as an editor in New York and for her own apartment. She experiences the difficult conditions on the labor market and housing market and the resulting effects on interpersonal relationships.
185,Das Tagebuch der Eva Forest,1975,01.11.1975,DRA,Rundfunk der DDR,Based on diaries,adaptation,Hörspielbearbeitung,Eva Forest,author; activist; woman,Eva Forest,Horst Liepach,https://hoerspiele.dra.de/detailansicht/1443399,"The radio work uses original diary recordings of the anti-fascist Eva Forest, the wife of the Spanish playwright Alfonso Sastre, who is incarcerated in a Spanish prison."
186,"Jürgen Gundlach, Produktionsdirektor der LPG Kotelow",1976,30.04.1976,DRA,Rundfunk der DDR,Biography,original radio play,"Originalhörspiel, Kurzhörspiel",Jürgen Gundlach,worker; manager; ordinary person,Günter Ebert,Joachim Staritz,https://hoerspiele.dra.de/detailansicht/1443441,"Jürgen Gundlach, production director at LPG Kotelow, is interviewed by an author about his work. The author and Gundlach's colleagues comment on his flawless and exemplary work."
187,Erinnerungen an Rüdiger Kremer,2002,01.11.2002,DRA,Radio Bremen,Biography,portrait,Porträt,Rüdiger Kremer,author; radio producer,Peter Dahl,Holger Rink,https://hoerspiele.dra.de/detailansicht/1443482,"Peter Dahl, born in 1942, studied German and sociology. He worked as a journalist for news agencies, newspapers and magazines (""konkret"", ""pardon"")."
188,"Gertrud Westphal, Dreherin im VEB Büromaschinenwerk Sömmerda",1976,29.04.1976,DRA,Rundfunk der DDR,Biography,original radio play,"Originalhörspiel, Kurzhörspiel",Gertrud Westphal,worker; woman; ordinary person,Klaus Hemberger,Werner Grunow,https://hoerspiele.dra.de/detailansicht/1443438,"The lathe operator Gertrud Westphal from VEB Büromaschinenwerk Sömmerda, her brigadier and her husband report on their exemplary work."
189,"Willi Stachelhaus, Brigadier im VEB Kranbau Eberswalde",1976,03.05.1976,DRA,Rundfunk der DDR,Biography,original radio play,"Originalhörspiel, Kurzhörspiel",Willi Stachelhaus,worker; ordinary person,Joachim Ret,Werner Grunow,https://hoerspiele.dra.de/detailansicht/1443439,Brigadier Willi Spikehaus in the Eberswalde crane construction company reports on his commitment in everyday work.
190,Der Fliegerpfeil,2002,01.05.2002,DRA,Klangmanufaktur,Based on diaries,adaptation,Hörspielbearbeitung,Robert Musil,author; soldier,Robert Musil,Ulrich Lampen,https://hoerspiele.dra.de/detailansicht/1443485,"In his diary from the First World War, Robert Musil notes: ""The piece of shrapnel or the pilot's arrow on Tenna: You have been hearing it for a long time. A wind-like whistling or wind-like rushing sound."
191,Ryôan-Ji oder Die Gärten der Leere / Just to rolywholyover,2002,10.08.2002,DRA,DeutschlandRadio Köln,Sound art,sound art,Ars acustica,John Cage,musician; artist,Klaus Schöning,,https://hoerspiele.dra.de/detailansicht/1443955,"“Ryôan-Ji or The Gardens of the Void” is a reflection on the visual works of John Cage. They stand in a rhizomatic network of relationships to his musical, poetic works, which are permeated by the spirit of Zen."
192,Mushroom Talk,2002,06.08.2002,DRA,Westdeutscher Rundfunk / DeutschlandRadio Köln,Biography,portrait,"Gespräch, Porträt",John Cage,musician; artist,Klaus Schöning,,https://hoerspiele.dra.de/detailansicht/1443954,"John Cage (September 5, 1912 - August 12, 1992) is one of the most versatile and groundbreaking artistic personalities of the 20th century."
193,Erinnerungen,1980,12.02.1980,DRA,Sender Freies Berlin,Biofiction,other,Kurzhörspiel,Bremen Town Musicians,fictional character; collective,Detlef Michelers,Rolf von Goth,https://hoerspiele.dra.de/detailansicht/1444158,"Learn more A quicker moderator welcomes listeners to a live discussion. ""Today's topic in our series 'Contemporary History for Contemporaries' is the question of a new reception of the history of the Bremen Town Musicians that has become necessary."
194,Wie eine Staubwolke von Noten,1975,27.12.1975,DRA,Norddeutscher Rundfunk / Sender Freies Berlin / Westdeutscher Rundfunk,Biography,original radio play,Originalhörspiel,concert orchestra musicians,musician; collective,Ekkehard Sass,Ekkehard Sass; Hans Rosenhauer,https://hoerspiele.dra.de/detailansicht/1444026,"""An author's attempt to gain entry into the 'closed society' of a concert orchestra. The orchestra instrument is broken down into its components. Behind these components stands the individual musician, his work with a specific instrument."
195,Das Handwerk des Lebens (1. Teil: 1935-1939),2003,10.12.2003,DRA,Hessischer Rundfunk / Radio Bremen,Based on diaries,adaptation,Hörspielbearbeitung,Cesare Pavese,author,Cesare Pavese,Christiane Ohaus,https://hoerspiele.dra.de/detailansicht/1444843,"""It is the story of a man who found it extremely difficult to live and his struggle to find a place in life or die so that he would have enough to live and enough to say."" The literary diary as a form of existential reassurance: Cesare Pavese wrote his..."
196,Blitzlichter (Langfassung),2002,21.10.2002,DRA,Bayerischer Rundfunk,Autobiographical lives,adaptation,Hörspielbearbeitung,Ilse Aichinger,author; woman,Ilse Aichinger,Ulrich Lampen,https://hoerspiele.dra.de/detailansicht/1444869,"Ilse Aichinger tells her life in an idiosyncratic way. Brief, existential - a completely different autobiography that is essentially defined by going to the cinema."
197,Das Handwerk des Lebens (2. Teil: 1939-1950),2003,10.12.2003,DRA,Hessischer Rundfunk / Radio Bremen,Based on diaries,adaptation,Hörspielbearbeitung,Cesare Pavese,author,Cesare Pavese,Christiane Ohaus,https://hoerspiele.dra.de/detailansicht/1444844,"""It is the story of a man who found it extremely difficult to live and his struggle to find a place in life or die so that he would have enough to live and enough to say."" The literary diary as a form of existential reassurance: Cesare Pavese wrote his..."
198,Blagomir Alexiev - Ein Porträt,2002,10.01.2002,DRA,Südwestrundfunk,Biography,portrait,Porträt,Blagomir Alexiev,author; musician; sound engineer,Gisela Erbslöh,Iris Drögekamp,https://hoerspiele.dra.de/detailansicht/1445045,"A portrait of the author Blagomir Alexiev, who was awarded the SWR Karl Sczuka Prize. Blagomir Alexiev, born in 1954 in Varna/Bulgaria, completed his training in Sofia in 1973, worked there as a musician from 1977 to 1984 and as a sound engineer in the studio of the National Theater and Film Academy from 1984 to 1997."
199,Porträt einer verfilmten Landschaft,1977,01.12.1977,DRA,Süddeutscher Rundfunk,Biofiction,original radio play,Originalhörspiel,Joseta,woman; ordinary person,Elfriede Jelinek,Hartmut Kirste,https://hoerspiele.dra.de/detailansicht/1445261,"Tourist resort in her Styrian homeland ""Ramsau am Dachstein"", she subsequently built up her radio piece from the material that ""fell victim to the editing with the exception of a few interviews and statements""."
200,Verurteilt oder Christa Palms Briefe in den Knast,1976,21.09.1976,DRA,Westdeutscher Rundfunk,Based on letters,feature / documentary,"Originalhörspiel, Dokumentarhörspiel",Christa Palm,woman; ordinary person,Wolfgang Schiffer; Charles Dürr,Heinz Wilhelm Schwarz,https://hoerspiele.dra.de/detailansicht/1445980,"In January 1963, Manfred Gillich was arrested during a break-in at a fur shop and taken into custody. At that time, his fiancée, Christa Palm, was working as a waitress in a Cologne restaurant run by the inmate's mother."
201,Exakte Vision. Helen Hessels Jules und Jim,2004,08.03.2004,DRA,Bayerischer Rundfunk,Based on letters,adaptation,Hörspielbearbeitung,Helen Hessel,author; woman,Helen Hessel,Ulrike Haage,https://hoerspiele.dra.de/detailansicht/1446234,“Exact Vision” tells the story of a love affair that has become legendary. Helen Hessel is the wife between the writers Franz Hessel and Henri-Pierre Roché; she met the two close friends in Paris in 1912.
202,Le Rêveur Au Sourire Passager,2003,11.10.2003,DRA,Westdeutscher Rundfunk,Sound art,sound art,Ars acustica,Leo Küpper,composer; musician,Marietta Morawska-Büngeler,,https://hoerspiele.dra.de/detailansicht/1446549,"Leo Küpper, born in 1935, studied composition and musicology. In 1967 he founded his own studio in Brussels, ""Studio de Recherches et de Structurations Electroniques Auditives""."
203,Schlußball (1. Teil: Erinnerungen aus Neu-Spuhl),1960,1960,DRA,Sender Freies Berlin,Biofiction,adaptation,Hörspielbearbeitung,residents of Neu-Spuhl,collective; ordinary person,Gerd Gaiser,Lothar Kompatzki,https://hoerspiele.dra.de/detailansicht/1446756,Final ball (Part 1: Memories from Neu-Spuhl).
